,HomeTeam,AwayTeam,BbAvH,BbAvD,BbAvA,FTR,AwayTeamGoals,HomeTeamConceded,AwayTeamConceded,HomeTeamGoals,Weekday
2774,Newcastle,Bournemouth,2.64,3.21,2.84,H,1.2,0.6,1.2,0.6,2.0
2775,Southampton,Everton,2.96,3.37,2.44,A,0.6,3.8,1.8,0.8,2.0
2776,Tottenham,Sheffield United,1.58,4.14,6.02,D,1.2,0.8,0.8,2.0,2.0
2777,Leicester,Arsenal,1.99,3.78,3.62,H,1.0,0.6,1.4,2.4,2.0
2778,Man United,Brighton,1.67,3.67,5.82,H,0.8,0.8,1.6,1.6,4.0
2779,Wolves,Aston Villa,1.9,3.6,4.24,H,1.6,1.6,2.2,1.4,4.0
2780,Liverpool,Man City,2.56,3.58,2.68,H,3.0,1.0,1.0,2.8,4.0
2781,West Ham,Tottenham,4.32,4.14,1.75,A,1.0,1.2,2.0,1.6,5.0
2782,Arsenal,Southampton,1.47,4.75,6.55,D,1.2,1.4,1.0,1.8,5.0
2783,Bournemouth,Wolves,2.82,3.3,2.59,A,1.4,1.2,1.2,1.4,5.0
2784,Brighton,Leicester,3.69,3.53,2.04,A,2.8,1.0,0.8,1.8,5.0
2785,Crystal Palace,Liverpool,7.33,4.62,1.45,A,1.8,1.0,0.6,0.8,5.0
2786,Everton,Norwich,1.4,5.0,7.73,A,0.0,1.6,1.6,1.4,5.0
2787,Watford,Burnley,2.33,3.31,3.2,A,1.0,1.4,1.8,0.8,5.0
2788,Man City,Chelsea,1.45,4.96,6.64,H,3.6,0.6,1.6,3.4,5.0
2789,Sheffield United,Man United,3.55,3.28,2.18,D,0.8,0.8,1.2,1.0,6.0
2790,Aston Villa,Newcastle,2.11,3.46,3.55,H,1.0,1.0,2.2,1.4,0.0
2791,Newcastle,Man City,15.11,7.59,1.18,D,2.2,0.6,1.6,1.0,5.0
2792,Burnley,Crystal Palace,2.31,3.26,3.3,A,1.2,1.4,2.0,1.6,5.0
2793,Chelsea,West Ham,1.3,5.94,9.63,A,1.0,0.8,1.6,1.6,5.0
2794,Liverpool,Brighton,1.21,6.85,14.67,H,0.4,1.0,2.2,2.6,5.0
2795,Tottenham,Bournemouth,1.38,5.19,7.86,H,1.0,0.8,1.4,1.6,5.0
2796,Southampton,Watford,2.12,3.5,3.51,H,0.8,3.8,2.4,0.8,5.0
2797,Norwich,Arsenal,4.14,4.22,1.77,D,0.8,3.0,1.8,1.4,5.0
2798,Wolves,Sheffield United,1.92,3.43,4.35,D,1.2,1.6,0.8,1.6,5.0
2799,Leicester,Everton,1.64,4.08,5.33,H,1.0,0.6,2.0,2.8,5.0
2800,Man United,Aston Villa,1.49,4.38,7.08,D,1.6,1.0,2.0,1.4,5.0
2801,Crystal Palace,Bournemouth,2.24,3.38,3.34,H,1.2,1.4,1.4,0.8,1.0
